#,Country (or dependency),Population,Land Area,Migrants,,,,,,,
,,,,,,,,,,,
1,China,"1,439,323,776","9,388,211","-348,399",,,,,,,
2,India,"1,380,004,385","2,973,190","-532,687",,,,,,,
3,United States,"331,002,651","9,147,420","954,806",,,,,,,
4,Indonesia,"273,523,615","1,811,570","-98,955",,,,,,,
5,Pakistan,"220,892,340","770,880","-233,379",,,,,,,
6,Brazil,"212,559,417","8,358,140","21,200",,,,,,,
7,Nigeria,"206,139,589","910,770","-60,000",,,,,,,
8,Bangladesh,"164,689,383","130,170","-369,501",,,,,,,
9,Russia,"145,934,462","16,376,870","182,456",,,,,,,
10,Mexico,"128,932,753","1,943,950","-60,000",,,,,,,
11,Japan,"126,476,461","364,555","71,560",,,,,,,
12,Ethiopia,"114,963,588","1,000,000","30,000",,,,,,,
13,Philippines,"109,581,078","298,170","-67,152",,,,,,,
14,Egypt,"102,334,404","995,450","-38,033",,,,,,,
15,Vietnam,"97,338,579","310,070","-80,000",,,,,,,
16,DR Congo,"89,561,403","2,267,050","23,861",,,,,,,
17,Turkey,"84,339,067","769,630","283,922",,,,,,,
18,Iran,"83,992,949","1,628,550","-55,000",,,,,,,
19,Germany,"83,783,942","348,560","543,822",,,,,,,
20,Thailand,"69,799,978","510,890","19,444",,,,,,,
21,United Kingdom,"67,886,011","241,930","260,650",,,,,,,
22,France,"65,273,511","547,557","36,527",,,,,,,
23,Italy,"60,461,826","294,140","148,943",,,,,,,
24,Tanzania,"59,734,218","885,800","-40,076",,,,,,,
25,South Africa,"59,308,690","1,213,090","145,405",,,,,,,
26,Myanmar,"54,409,800","653,290","-163,313",,,,,,,
27,Kenya,"53,771,296","569,140","-10,000",,,,,,,
28,South Korea,"51,269,185","97,230","11,731",,,,,,,
29,Colombia,"50,882,891","1,109,500","204,796",,,,,,,
30,Spain,"46,754,778","498,800","40,000",,,,,,,
31,Uganda,"45,741,007","199,810","168,694",,,,,,,
32,Argentina,"45,195,774","2,736,690","4,800",,,,,,,
33,Algeria,"43,851,044","2,381,740","-10,000",,,,,,,
34,Sudan,"43,849,260","1,765,048","-50,000",,,,,,,
35,Ukraine,"43,733,762","579,320","10,000",,,,,,,
36,Iraq,"40,222,493","434,320","7,834",,,,,,,
37,Afghanistan,"38,928,346","652,860","-62,920",,,,,,,
38,Poland,"37,846,611","306,230","-29,395",,,,,,,
39,Canada,"37,742,154","9,093,510","242,032",,,,,,,
40,Morocco,"36,910,560","446,300","-51,419",,,,,,,
41,Saudi Arabia,"34,813,871","2,149,690","134,979",,,,,,,
42,Uzbekistan,"33,469,203","425,400","-8,863",,,,,,,
43,Peru,"32,971,854","1,280,000","99,069",,,,,,,
44,Angola,"32,866,272","1,246,700","6,413",,,,,,,
45,Malaysia,"32,365,999","328,550","50,000",,,,,,,
46,Mozambique,"31,255,435","786,380","-5,000",,,,,,,
47,Ghana,"31,072,940","227,540","-10,000",,,,,,,
48,Yemen,"29,825,964","527,970","-30,000",,,,,,,
49,Nepal,"29,136,808","143,350","41,710",,,,,,,
50,Venezuela,"28,435,940","882,050","-653,249",,,,,,,
51,Madagascar,"27,691,018","581,795","-1,500",,,,,,,
52,Cameroon,"26,545,863","472,710","-4,800",,,,,,,
53,Côte d'Ivoire,"26,378,274","318,000","-8,000",,,,,,,
54,North Korea,"25,778,816","120,410","-5,403",,,,,,,
55,Australia,"25,499,884","7,682,300","158,246",,,,,,,
56,Niger,"24,206,644","1,266,700","4,000",,,,,,,
57,Taiwan,"23,816,775","35,410","30,001",,,,,,,
58,Sri Lanka,"21,413,249","62,710","-97,986",,,,,,,
59,Burkina Faso,"20,903,273","273,600","-25,000",,,,,,,
60,Mali,"20,250,833","1,220,190","-40,000",,,,,,,
61,Romania,"19,237,691","230,170","-73,999",,,,,,,
62,Malawi,"19,129,952","94,280","-16,053",,,,,,,
63,Chile,"19,116,201","743,532","111,708",,,,,,,
64,Kazakhstan,"18,776,707","2,699,700","-18,000",,,,,,,
65,Zambia,"18,383,955","743,390","-8,000",,,,,,,
66,Guatemala,"17,915,568","107,160","-9,215",,,,,,,
67,Ecuador,"17,643,054","248,360","36,400",,,,,,,
68,Syria,"17,500,658","183,630","-427,391",,,,,,,
69,Netherlands,"17,134,872","33,720","16,000",,,,,,,
70,Senegal,"16,743,927","192,530","-20,000",,,,,,,
71,Cambodia,"16,718,965","176,520","-30,000",,,,,,,
72,Chad,"16,425,864","1,259,200","2,000",,,,,,,
73,Somalia,"15,893,222","627,340","-40,000",,,,,,,
74,Zimbabwe,"14,862,924","386,850","-116,858",,,,,,,
75,Guinea,"13,132,795","245,720","-4,000",,,,,,,
76,Rwanda,"12,952,218","24,670","-9,000",,,,,,,
77,Benin,"12,123,200","112,760","-2,000",,,,,,,
78,Burundi,"11,890,784","25,680","2,001",,,,,,,
79,Tunisia,"11,818,619","155,360","-4,000",,,,,,,
80,Bolivia,"11,673,021","1,083,300","-9,504",,,,,,,
81,Belgium,"11,589,623","30,280","48,000",,,,,,,
82,Haiti,"11,402,528","27,560","-35,000",,,,,,,
83,Cuba,"11,326,616","106,440","-14,400",,,,,,,
84,South Sudan,"11,193,725","610,952","-174,200",,,,,,,
85,Dominican Republic,"10,847,910","48,320","-30,000",,,,,,,
86,Czech Republic (Czechia),"10,708,981","77,240","22,011",,,,,,,
87,Greece,"10,423,054","128,900","-16,000",,,,,,,
88,Jordan,"10,203,134","88,780","10,220",,,,,,,
89,Portugal,"10,196,709","91,590","-6,000",,,,,,,
90,Azerbaijan,"10,139,177","82,658","1,200",,,,,,,
91,Sweden,"10,099,265","410,340","40,000",,,,,,,
92,Honduras,"9,904,607","111,890","-6,800",,,,,,,
93,United Arab Emirates,"9,890,402","83,600","40,000",,,,,,,
94,Hungary,"9,660,351","90,530","6,000",,,,,,,
95,Tajikistan,"9,537,645","139,960","-20,000",,,,,,,
96,Belarus,"9,449,323","202,910","8,730",,,,,,,
97,Austria,"9,006,398","82,409","65,000",,,,,,,
98,Papua New Guinea,"8,947,024","452,860",-800,,,,,,,
99,Serbia,"8,737,371","87,460","4,000",,,,,,,
100,Israel,"8,655,535","21,640","10,000",,,,,,,
101,Switzerland,"8,654,622","39,516","52,000",,,,,,,
102,Togo,"8,278,724","54,390","-2,000",,,,,,,
103,Sierra Leone,"7,976,983","72,180","-4,200",,,,,,,
104,Hong Kong,"7,496,981","1,050","29,308",,,,,,,
105,Laos,"7,275,560","230,800","-14,704",,,,,,,
106,Paraguay,"7,132,538","397,300","-16,556",,,,,,,
107,Bulgaria,"6,948,445","108,560","-4,800",,,,,,,
108,Libya,"6,871,292","1,759,540","-1,999",,,,,,,
109,Lebanon,"6,825,445","10,230","-30,012",,,,,,,
110,Nicaragua,"6,624,554","120,340","-21,272",,,,,,,
111,Kyrgyzstan,"6,524,195","191,800","-4,000",,,,,,,
112,El Salvador,"6,486,205","20,720","-40,539",,,,,,,
113,Turkmenistan,"6,031,200","469,930","-5,000",,,,,,,
114,Singapore,"5,850,342",700,"27,028",,,,,,,
115,Denmark,"5,792,202","42,430","15,200",,,,,,,
116,Finland,"5,540,720","303,890","14,000",,,,,,,
117,Congo,"5,518,087","341,500","-4,000",,,,,,,
118,Slovakia,"5,459,642","48,088","1,485",,,,,,,
119,Norway,"5,421,241","365,268","28,000",,,,,,,
120,Oman,"5,106,626","309,500","87,400",,,,,,,
121,State of Palestine,"5,101,414","6,020","-10,563",,,,,,,
122,Costa Rica,"5,094,118","51,060","4,200",,,,,,,
123,Liberia,"5,057,681","96,320","-5,000",,,,,,,
124,Ireland,"4,937,786","68,890","23,604",,,,,,,
125,Central African Republic,"4,829,767","622,980","-40,000",,,,,,,
126,New Zealand,"4,822,233","263,310","14,881",,,,,,,
127,Mauritania,"4,649,658","1,030,700","5,000",,,,,,,
128,Panama,"4,314,767","74,340","11,200",,,,,,,
129,Kuwait,"4,270,571","17,820","39,520",,,,,,,
130,Croatia,"4,105,267","55,960","-8,001",,,,,,,
131,Moldova,"4,033,963","32,850","-1,387",,,,,,,
132,Georgia,"3,989,167","69,490","-10,000",,,,,,,
133,Eritrea,"3,546,421","101,000","-39,858",,,,,,,
134,Uruguay,"3,473,730","175,020","-3,000",,,,,,,
135,Bosnia and Herzegovina,"3,280,819","51,000","-21,585",,,,,,,
136,Mongolia,"3,278,290","1,553,560",-852,,,,,,,
137,Armenia,"2,963,243","28,470","-4,998",,,,,,,
138,Jamaica,"2,961,167","10,830","-11,332",,,,,,,
139,Qatar,"2,881,053","11,610","40,000",,,,,,,
140,Albania,"2,877,797","27,400","-14,000",,,,,,,
141,Puerto Rico,"2,860,853","8,870","-97,986",,,,,,,
142,Lithuania,"2,722,289","62,674","-32,780",,,,,,,
143,Namibia,"2,540,905","823,290","-4,806",,,,,,,
144,Gambia,"2,416,668","10,120","-3,087",,,,,,,
145,Botswana,"2,351,627","566,730","3,000",,,,,,,
